"Code","CodeType","NewCode","Deficit"
"153.4","ICD9","1534","Cancer"
"156.9","ICD9","1569","Cancer"
"154.2","ICD9","1542","Cancer"
"153.2","ICD9","1532","Cancer"
"151.8","ICD9","1518","Cancer"
"151.3","ICD9","1513","Cancer"
"156.0","ICD9","1560","Cancer"
"154.8","ICD9","1548","Cancer"
"157.9","ICD9","1579","Cancer"
"162.5","ICD9","1625","Cancer"
"163.1","ICD9","1631","Cancer"
"162.0","ICD9","1620","Cancer"
"160.1","ICD9","1601","Cancer"
"161.2","ICD9","1612","Cancer"
"162.8","ICD9","1628","Cancer"
"160.3","ICD9","1603","Cancer"
"165.8","ICD9","1658","Cancer"
"164.1","ICD9","1641","Cancer"
"160.9","ICD9","1609","Cancer"
"164.3","ICD9","1643","Cancer"
"163.9","ICD9","1639","Cancer"
"161.8","ICD9","1618","Cancer"
"165.0","ICD9","1650","Cancer"
"165.9","ICD9","1659","Cancer"
"162.4","ICD9","1624","Cancer"
"164.9","ICD9","1649","Cancer"
"162.3","ICD9","1623","Cancer"
"164.0","ICD9","1640","Cancer"
"161.0","ICD9","1610","Cancer"
"160.4","ICD9","1604","Cancer"
"161.3","ICD9","1613","Cancer"
"162.2","ICD9","1622","Cancer"
"164.2","ICD9","1642","Cancer"
"163.0","ICD9","1630","Cancer"
"161.9","ICD9","1619","Cancer"
"160.2","ICD9","1602","Cancer"
"164.8","ICD9","1648","Cancer"
"161.1","ICD9","1611","Cancer"
"160.0","ICD9","1600","Cancer"
"160.8","ICD9","1608","Cancer"
"162.9","ICD9","1629","Cancer"
"160.5","ICD9","1605","Cancer"
"163.8","ICD9","1638","Cancer"
"170.0","ICD9","1700","Cancer"
"170.5","ICD9","1705","Cancer"
"170.6","ICD9","1706","Cancer"
"170.3","ICD9","1703","Cancer"
"170.9","ICD9","1709","Cancer"
"170.4","ICD9","1704","Cancer"
"170.8","ICD9","1708","Cancer"
"170.7","ICD9","1707","Cancer"
"170.1","ICD9","1701","Cancer"
"170.2","ICD9","1702","Cancer"
"171.7","ICD9","1717","Cancer"
"171.9","ICD9","1719","Cancer"
"171.0","ICD9","1710","Cancer"
"171.5","ICD9","1715","Cancer"
"171.6","ICD9","1716","Cancer"
"171.8","ICD9","1718","Cancer"
"171.4","ICD9","1714","Cancer"
"171.3","ICD9","1713","Cancer"
"171.2","ICD9","1712","Cancer"
"172.7","ICD9","1727","Cancer"
"172.2","ICD9","1722","Cancer"
"172.5","ICD9","1725","Cancer"
"172.8","ICD9","1728","Cancer"
"172.3","ICD9","1723","Cancer"
"172.0","ICD9","1720","Cancer"
"172.6","ICD9","1726","Cancer"
"172.9","ICD9","1729","Cancer"
"172.4","ICD9","1724","Cancer"
"172.1","ICD9","1721","Cancer"
"174.0","ICD9","1740","Cancer"
"174.9","ICD9","1749","Cancer"
"174.4","ICD9","1744","Cancer"
"174.1","ICD9","1741","Cancer"
"174.2","ICD9","1742","Cancer"
"174.6","ICD9","1746","Cancer"
"174.5","ICD9","1745","Cancer"
"174.3","ICD9","1743","Cancer"
"174.8","ICD9","1748","Cancer"
"175.0","ICD9","1750","Cancer"
"175.9","ICD9","1759","Cancer"
"176.9","ICD9","1769","Cancer"
"176.3","ICD9","1763","Cancer"
"176.0","ICD9","1760","Cancer"
"176.1","ICD9","1761","Cancer"
"176.4","ICD9","1764","Cancer"
"176.5","ICD9","1765","Cancer"
"176.8","ICD9","1768","Cancer"
"176.2","ICD9","1762","Cancer"
"179.","ICD9","179","Cancer"
"184.3","ICD9","1843","Cancer"
"180.9","ICD9","1809","Cancer"
"187.2","ICD9","1872","Cancer"
"184.4","ICD9","1844","Cancer"
"189.8","ICD9","1898","Cancer"
"185.","ICD9","185","Cancer"
"189.1","ICD9","1891","Cancer"
"187.5","ICD9","1875","Cancer"
"188.3","ICD9","1883","Cancer"
"188.8","ICD9","1888","Cancer"
"188.0","ICD9","1880","Cancer"
"182.1","ICD9","1821","Cancer"
"183.3","ICD9","1833","Cancer"
"189.9","ICD9","1899","Cancer"
"183.9","ICD9","1839","Cancer"
"188.4","ICD9","1884","Cancer"
"188.1","ICD9","1881","Cancer"
"182.0","ICD9","1820","Cancer"
"184.1","ICD9","1841","Cancer"
"187.3","ICD9","1873","Cancer"
"183.4","ICD9","1834","Cancer"
"184.9","ICD9","1849","Cancer"
"188.2","ICD9","1882","Cancer"
"189.3","ICD9","1893","Cancer"
"188.6","ICD9","1886","Cancer"
"186.0","ICD9","1860","Cancer"
"183.2","ICD9","1832","Cancer"
"183.8","ICD9","1838","Cancer"
"189.4","ICD9","1894","Cancer"
"184.2","ICD9","1842","Cancer"
"184.8","ICD9","1848","Cancer"
"183.5","ICD9","1835","Cancer"
"186.9","ICD9","1869","Cancer"
"188.7","ICD9","1887","Cancer"
"184.0","ICD9","1840","Cancer"
"183.0","ICD9","1830","Cancer"
"188.9","ICD9","1889","Cancer"
"187.1","ICD9","1871","Cancer"
"187.4","ICD9","1874","Cancer"
"180.0","ICD9","1800","Cancer"
"187.8","ICD9","1878","Cancer"
"187.7","ICD9","1877","Cancer"
"188.5","ICD9","1885","Cancer"
"187.9","ICD9","1879","Cancer"
"189.0","ICD9","1890","Cancer"
"182.8","ICD9","1828","Cancer"
"189.2","ICD9","1892","Cancer"
"180.1","ICD9","1801","Cancer"
"181.","ICD9","181","Cancer"
"180.8","ICD9","1808","Cancer"
"187.6","ICD9","1876","Cancer"
"197.1","ICD9","1971","Cancer"
"196.3","ICD9","1963","Cancer"
"191.9","ICD9","1919","Cancer"
"192.9","ICD9","1929","Cancer"
"191.4","ICD9","1914","Cancer"
"190.1","ICD9","1901","Cancer"
"196.9","ICD9","1969","Cancer"
"196.6","ICD9","1966","Cancer"
"194.4","ICD9","1944","Cancer"
"190.6","ICD9","1906","Cancer"
"197.7","ICD9","1977","Cancer"
"190.8","ICD9","1908","Cancer"
"195.8","ICD9","1958","Cancer"
"196.2","ICD9","1962","Cancer"
"192.0","ICD9","1920","Cancer"
"198.1","ICD9","1981","Cancer"
"194.9","ICD9","1949","Cancer"
"198.7","ICD9","1987","Cancer"
"190.9","ICD9","1909","Cancer"
"195.2","ICD9","1952","Cancer"
"190.4","ICD9","1904","Cancer"
"198.89","ICD9","19889","Cancer"
"191.2","ICD9","1912","Cancer"
"199.0","ICD9","1990","Cancer"
"191.7","ICD9","1917","Cancer"
"198.4","ICD9","1984","Cancer"
"197.4","ICD9","1974","Cancer"
"194.1","ICD9","1941","Cancer"
"192.3","ICD9","1923","Cancer"
"198.5","ICD9","1985","Cancer"
"196.0","ICD9","1960","Cancer"
"195.5","ICD9","1955","Cancer"
"199.1","ICD9","1991","Cancer"
"191.3","ICD9","1913","Cancer"
"197.3","ICD9","1973","Cancer"
"197.8","ICD9","1978","Cancer"
"193.","ICD9","193","Cancer"
"190.7","ICD9","1907","Cancer"
"197.0","ICD9","1970","Cancer"
"192.1","ICD9","1921","Cancer"
"199.2","ICD9","1992","Cancer"
"196.1","ICD9","1961","Cancer"
"192.2","ICD9","1922","Cancer"
"198.6","ICD9","1986","Cancer"
"191.0","ICD9","1910","Cancer"
"195.4","ICD9","1954","Cancer"
"194.3","ICD9","1943","Cancer"
"190.2","ICD9","1902","Cancer"
"192.8","ICD9","1928","Cancer"
"191.5","ICD9","1915","Cancer"
"194.6","ICD9","1946","Cancer"
"198.0","ICD9","1980","Cancer"
"195.3","ICD9","1953","Cancer"
"191.1","ICD9","1911","Cancer"
"198.81","ICD9","19881","Cancer"
"190.0","ICD9","1900","Cancer"
"196.8","ICD9","1968","Cancer"
"191.6","ICD9","1916","Cancer"
"194.0","ICD9","1940","Cancer"
"197.6","ICD9","1976","Cancer"
"198.3","ICD9","1983","Cancer"
"190.3","ICD9","1903","Cancer"
"197.5","ICD9","1975","Cancer"
"191.8","ICD9","1918","Cancer"
"194.5","ICD9","1945","Cancer"
"198.2","ICD9","1982","Cancer"
"197.2","ICD9","1972","Cancer"
"194.8","ICD9","1948","Cancer"
"195.1","ICD9","1951","Cancer"
"196.5","ICD9","1965","Cancer"
"198.82","ICD9","19882","Cancer"
"190.5","ICD9","1905","Cancer"
"195.0","ICD9","1950","Cancer"
"202.41","ICD9","20241","Cancer"
"204.00","ICD9","20400","Cancer"
"205.10","ICD9","20510","Cancer"
"209.42","ICD9","20942","Cancer"
"205.2","ICD9","2052","Cancer"
"205.80","ICD9","20580","Cancer"
"202.00","ICD9","20200","Cancer"
"201.10","ICD9","20110","Cancer"
"200.41","ICD9","20041","Cancer"
"200.67","ICD9","20067","Cancer"
"209.17","ICD9","20917","Cancer"
"205.31","ICD9","20531","Cancer"
"202.65","ICD9","20265","Cancer"
"200.32","ICD9","20032","Cancer"
"201.22","ICD9","20122","Cancer"
"202.34","ICD9","20234","Cancer"
"200.17","ICD9","20017","Cancer"
"202.66","ICD9","20266","Cancer"
"201.68","ICD9","20168","Cancer"
"200.55","ICD9","20055","Cancer"
"202.80","ICD9","20280","Cancer"
"209.61","ICD9","20961","Cancer"
"200.35","ICD9","20035","Cancer"
"209.24","ICD9","20924","Cancer"
"205.00","ICD9","20500","Cancer"
"209.64","ICD9","20964","Cancer"
"209.26","ICD9","20926","Cancer"
"201.11","ICD9","20111","Cancer"
"200.78","ICD9","20078","Cancer"
"200.63","ICD9","20063","Cancer"
"200.61","ICD9","20061","Cancer"
"204.10","ICD9","20410","Cancer"
"207.82","ICD9","20782","Cancer"
"202.16","ICD9","20216","Cancer"
"202.20","ICD9","20220","Cancer"
"209.10","ICD9","20910","Cancer"
"206.92","ICD9","20692","Cancer"
"209.13","ICD9","20913","Cancer"
"202.03","ICD9","20203","Cancer"
"202.23","ICD9","20223","Cancer"
